time	V(in)
2.423512435725762e-003	4.631565e-003
2.435370694654333e-003	3.958820e-003
2.447228953582904e-003	3.255282e-003
2.454204400011476e-003	2.835820e-003
2.461179846440047e-003	2.412961e-003
2.468155292868618e-003	1.986706e-003
2.475130739297189e-003	1.557053e-003
2.482106185725761e-003	1.124004e-003
2.489081632154332e-003	6.875584e-004
2.496057078582903e-003	2.477157e-004
2.500939891082903e-003	-5.977439e-005
2.505822703582903e-003	-3.664887e-004
2.510705516082903e-003	-6.724273e-004
2.515588328582903e-003	-9.775901e-004
2.520471141082903e-003	-1.281977e-003
2.525353953582903e-003	-1.585589e-003
2.530236766082902e-003	-1.888424e-003
2.540699935725760e-003	-2.536017e-003
2.551163105368616e-003	-3.166071e-003
2.561626275011473e-003	-3.778588e-003
2.572089444654330e-003	-4.373567e-003
2.582552614297187e-003	-4.951008e-003
2.593015783940044e-003	-5.510911e-003
2.603478953582901e-003	-6.053276e-003
2.620220025011472e-003	-6.871819e-003
2.636961096440043e-003	-7.597389e-003
2.653702167868614e-003	-8.229985e-003
2.670443239297185e-003	-8.769607e-003
2.687184310725756e-003	-9.216256e-003
2.703925382154327e-003	-9.569931e-003
2.720666453582898e-003	-9.830633e-003
2.741592792868612e-003	-9.974017e-003
2.762519132154326e-003	-9.954389e-003
2.783445471440040e-003	-9.771748e-003
2.804371810725754e-003	-9.426094e-003
2.825298150011468e-003	-8.917428e-003
2.846224489297181e-003	-8.245750e-003
2.867150828582895e-003	-7.411059e-003
2.879009087511467e-003	-6.882273e-003
2.890867346440037e-003	-6.323541e-003
2.902725605368609e-003	-5.734863e-003
2.914583864297180e-003	-5.116239e-003
2.926442123225751e-003	-4.467668e-003
2.938300382154322e-003	-3.789151e-003
2.950158641082893e-003	-3.080689e-003
2.957134087511465e-003	-2.658832e-003
2.964109533940036e-003	-2.233926e-003
2.971084980368607e-003	-1.805972e-003
2.978060426797179e-003	-1.374968e-003
2.985035873225750e-003	-9.409153e-004
2.992011319654321e-003	-5.038136e-004
2.998986766082892e-003	-6.366293e-005
3.005264667868607e-003	3.322509e-004
3.011542569654321e-003	7.261254e-004
3.017820471440035e-003	1.117960e-003
3.024098373225749e-003	1.507756e-003
3.030376275011463e-003	1.895512e-003
3.036654176797177e-003	2.281229e-003
3.042932078582891e-003	2.664907e-003
3.054092792868605e-003	3.341295e-003
3.065253507154319e-003	3.993592e-003
3.076414221440033e-003	4.621801e-003
3.087574935725748e-003	5.225919e-003
3.098735650011462e-003	5.805948e-003
3.109896364297176e-003	6.361887e-003
3.121057078582890e-003	6.893736e-003
3.140588328582889e-003	7.747916e-003
3.160119578582889e-003	8.464719e-003
3.179650828582889e-003	9.044144e-003
3.199182078582888e-003	9.486191e-003
3.218713328582888e-003	9.790861e-003
3.238244578582887e-003	9.958153e-003
3.257775828582887e-003	9.988068e-003
3.275911989297172e-003	9.853631e-003
3.294048150011458e-003	9.603903e-003
3.312184310725743e-003	9.238882e-003
3.330320471440028e-003	8.758570e-003
3.348456632154313e-003	8.162967e-003
3.366592792868599e-003	7.452071e-003
3.384728953582884e-003	6.625884e-003
3.395889667868598e-003	6.077314e-003
3.407050382154312e-003	5.506217e-003
3.418211096440026e-003	4.912593e-003
3.429371810725741e-003	4.296441e-003
3.440532525011455e-003	3.657762e-003
3.451693239297169e-003	2.996556e-003
3.462853953582883e-003	2.312823e-003
3.468434310725740e-003	1.969286e-003
3.474014667868597e-003	1.624393e-003
3.479595025011454e-003	1.278144e-003
3.485175382154310e-003	9.305387e-004
3.490755739297168e-003	5.815779e-004
3.496336096440024e-003	2.312612e-004
3.501916453582882e-003	-1.204114e-004
3.508891900011453e-003	-5.604831e-004
3.515867346440024e-003	-9.973984e-004
3.522842792868595e-003	-1.431157e-003
3.529818239297167e-003	-1.861760e-003
3.536793685725738e-003	-2.289206e-003
3.543769132154309e-003	-2.713496e-003
3.550744578582881e-003	-3.134629e-003
3.562602837511452e-003	-3.841600e-003
3.574461096440023e-003	-4.518361e-003
3.586319355368594e-003	-5.164914e-003
3.598177614297165e-003	-5.781259e-003
3.610035873225737e-003	-6.367395e-003
3.621894132154308e-003	-6.923322e-003
3.633752391082879e-003	-7.449041e-003
3.656771364297164e-003	-8.354079e-003
3.679790337511449e-003	-9.060100e-003
3.702809310725735e-003	-9.567104e-003
3.725828283940020e-003	-9.875090e-003
3.748847257154305e-003	-9.984060e-003
3.771866230368590e-003	-9.894012e-003
3.794885203582875e-003	-9.604947e-003
3.810928730368589e-003	-9.262010e-003
3.826972257154304e-003	-8.838222e-003
3.843015783940018e-003	-8.333581e-003
3.859059310725731e-003	-7.748089e-003
3.875102837511446e-003	-7.081746e-003
3.891146364297160e-003	-6.334550e-003
3.907189891082873e-003	-5.506503e-003
3.916955516082873e-003	-4.978963e-003
3.926721141082873e-003	-4.437923e-003
3.936486766082873e-003	-3.883385e-003
3.946252391082873e-003	-3.315349e-003
3.956018016082872e-003	-2.733814e-003
3.965783641082872e-003	-2.138781e-003
3.975549266082872e-003	-1.530249e-003
3.982524712511443e-003	-1.093699e-003
3.989500158940015e-003	-6.571442e-004
3.996475605368586e-003	-2.205853e-004
4.003451051797157e-003	2.159781e-004
4.010426498225728e-003	6.525459e-004
4.017401944654300e-003	1.089118e-003
4.024377391082871e-003	1.525695e-003
4.034143016082871e-003	2.134279e-003
4.043908641082871e-003	2.729381e-003
4.053674266082870e-003	3.311001e-003
4.063439891082870e-003	3.879138e-003
4.073205516082870e-003	4.433793e-003
4.082971141082870e-003	4.974966e-003
4.092736766082870e-003	5.502656e-003
4.108780292868584e-003	6.330987e-003
4.124823819654297e-003	7.078493e-003
4.140867346440012e-003	7.745175e-003
4.156910873225725e-003	8.331034e-003
4.172954400011439e-003	8.836068e-003
4.188997926797153e-003	9.260278e-003
4.205041453582867e-003	9.603663e-003
4.228060426797152e-003	9.893413e-003
4.251079400011438e-003	9.984125e-003
4.274098373225723e-003	9.875799e-003
4.297117346440008e-003	9.568435e-003
4.320136319654293e-003	9.062033e-003
4.343155292868579e-003	8.356593e-003
4.366174266082864e-003	7.452114e-003
4.378032525011435e-003	6.926645e-003
4.389890783940006e-003	6.370947e-003
4.401749042868578e-003	5.785018e-003
4.413607301797148e-003	5.168859e-003
4.425465560725719e-003	4.522471e-003
4.437323819654291e-003	3.845853e-003
4.449182078582862e-003	3.139005e-003
4.456157525011433e-003	2.717931e-003
4.463132971440005e-003	2.293692e-003
4.470108417868576e-003	1.866287e-003
4.477083864297147e-003	1.435718e-003
4.484059310725718e-003	1.001983e-003
4.491034757154289e-003	5.650839e-004
4.498010203582861e-003	1.250193e-004
4.503590560725718e-003	-2.266542e-004
4.509170917868575e-003	-5.769774e-004
4.514751275011432e-003	-9.259504e-004
4.520331632154289e-003	-1.273573e-003
4.525911989297146e-003	-1.619845e-003
4.531492346440003e-003	-1.964768e-003
4.537072703582860e-003	-2.308339e-003
4.548233417868574e-003	-2.992160e-003
4.559394132154288e-003	-3.653474e-003
4.570554846440002e-003	-4.292280e-003
4.581715560725716e-003	-4.908579e-003
4.592876275011430e-003	-5.502370e-003
4.604036989297144e-003	-6.073654e-003
4.615197703582858e-003	-6.622431e-003
4.633333864297143e-003	-7.449003e-003
4.651470025011429e-003	-8.160309e-003
4.669606185725714e-003	-8.756348e-003
4.687742346440000e-003	-9.237121e-003
4.705878507154285e-003	-9.602628e-003
4.724014667868571e-003	-9.852868e-003
4.742150828582856e-003	-9.987841e-003
4.761682078582855e-003	-9.958512e-003
4.781213328582855e-003	-9.791779e-003
4.800744578582854e-003	-9.487644e-003
4.820275828582854e-003	-9.046106e-003
4.839807078582854e-003	-8.467165e-003
4.859338328582853e-003	-7.750821e-003
4.878869578582853e-003	-6.897074e-003
4.883054846439996e-003	-6.703946e-003
4.887240114297138e-003	-6.506533e-003
4.891425382154281e-003	-6.304834e-003
4.895610650011424e-003	-6.098849e-003
4.899795917868567e-003	-5.888579e-003
4.903981185725709e-003	-5.674023e-003
4.908166453582852e-003	-5.455181e-003
4.913049266082852e-003	-5.195529e-003
4.922117346439995e-003	-4.696237e-003
4.931185426797137e-003	-4.185951e-003
4.940253507154280e-003	-3.664668e-003
4.949321587511423e-003	-3.132391e-003
4.958389667868566e-003	-2.589117e-003
4.967457748225708e-003	-2.034848e-003
4.976525828582851e-003	-1.469584e-003
4.996057078582850e-003	-2.477157e-004
5.000000000000000e-003	-1.224647e-017
